run_id,dataset,system,source_file,line_no,qa_key,uuid,question_type,question,gold_answer,baseline_response,baseline_label,evidence_count,retrieved_count,any_strict_hit,all_strict_hit,any_coverage_hit_0p60,all_coverage_hit_0p60,max_evidence_coverage,evidence_json
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,10,1:5:1,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Memory Conflict,"Did Martin express a preference for Labradors over Golden Retrievers on Jan 06, 2026?","No, Martin prefers Golden Retrievers over Labradors.",No mention of Golden Retrievers.,hallucination,3,20,False,False,False,False,0.3571,"[""Martin has modified his pet preference from Labradors to Golden Retrievers due to their gentle nature and adaptability."", ""Martin appreciates Golden Retrievers for their calm demeanor and ability to adapt to different situations."", ""Martin's interaction with a friend's Golden Retriever impressed him and influenced his pet preference.""]"
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,11,1:5:2,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Memory Boundary,"What is Martin's friend's name whose Golden Retriever he interacted with on Jan 06, 2026?",The name of Martin's friend is not provided.,No relevant memory found.,omission,0,20,False,False,False,False,0.0,[]
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,12,1:5:3,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Generalization & Application,How might Martin's preference for Golden Retrievers influence his choice of pet during stressful work periods in 2026?,Golden Retrievers provide relaxation and emotional support.,No mention of Golden Retrievers.,omission,3,20,False,False,False,False,0.4667,"[""Martin appreciates Golden Retrievers for their calm demeanor and ability to adapt to different situations."", ""Martin sees pets as essential for emotional support and companionship, enhancing his mental well-being."", ""Martin discussed how pets provide relaxation and comfort, balancing his demanding career.""]"
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,14,1:8:2,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Memory Boundary,What was Martin Mark's salary as a director at Huaxin Consulting?,Unknown,"15,700 USD monthly",hallucination,0,20,False,False,False,False,0.0,[]
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,15,1:8:3,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Memory Boundary,What is Martin Mark's blood type?,Unknown,Not mentioned in memories.,omission,0,20,False,False,False,False,0.0,[]
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,17,1:8:5,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Multi-hop Inference,"What role did Martin transition to on March 01, 2026, that improved his mental health?",A role offering a healthier work-life balance.,No relevant memory found.,omission,2,20,False,False,False,False,0.4167,"[""Martin successfully transitioned to a new role offering a healthier balance between professional demands and personal well-being."", ""Martin's new role has improved his mental health and job satisfaction.""]"
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,18,1:8:6,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Multi-hop Inference,"How did Martin's change in pet preference reflect his openness to new experiences as of January 10, 2026?",Switching from Labradors to Golden Retrievers.,No relevant memory found.,omission,2,20,False,False,False,False,0.2381,"[""Martin's recent change in pet preference from Labradors to Golden Retrievers reflects his openness to new experiences."", ""Martin expressed optimism about integrating his new pet preference into his daily life, seeing it as a way to help manage stress.""]"
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,20,1:8:8,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Multi-hop Inference,"How did Martin's colleagues influence his career transition as discussed on February 05, 2026?",Through insights and a collaborative approach.,No relevant memories found.,omission,2,20,False,False,True,False,0.8,"[""Martin's colleague Daniel offered valuable insights that pushed him to think outside the box in his career."", ""Martin's colleague Joshua's collaborative approach positively influenced Martin's leadership style.""]"
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,21,1:9:1,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Generalization & Application,"What type of new physical activity might Martin be interested in trying after April 10, 2026?",Other extreme sports.,No relevant memory found.,omission,2,20,False,False,False,False,0.44,"[""Martin has developed a newfound appreciation for extreme sports like simulated skydiving, valuing the thrill and challenge they offer while maintaining a commitment to safety measures."", ""Martin's experience at a team-building event led to a shift in his sports preferences, embracing extreme sports for their adrenaline and adventure.""]"
mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,22,1:9:2,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Generalization & Application,How might Martin's approach to overcoming creative blocks influence his choice of activities in the future?,Choosing challenging physical activities.,Seek new roles for inspiration.,hallucination,2,20,False,False,False,False,0.4615,"[""Engaging in extreme sports helps Martin overcome creative blocks and inspires new ideas."", ""Martin's openness to new experiences is reflected in his evolving sports preferences and his willingness to explore new dimensions of personal growth.""]"
